p08-cvi-03901->[p09-fqm-4983, og-029-01, 2002-cvi-210]
es-0279-04->[p09-fqm-4983, og-029-01, 2002-cvi-210]
2004-hum-303->[0613-0312, 2002-cvi-210, 2004-hum-353]
og-017-08->[0613-0312, 2002-cvi-210, 2004-hum-353]
ai-340-2002->[p09-fqm-4983, og-029-01, 2002-cvi-210]
1997-hum-287->[otri-06-06-pc45, es-032-2003, subcs09-001]
pi060335->[si-016-08, og-030-07, si-085-06]
pi-0091-04->[0613-0312, 2002-cvi-210, 2004-hum-353]
exc-2005-hum-407->[og-029-01, 2002-cvi-210, 0613-0312]
hp2007-0018->[og-029-01, 2002-cvi-210, 0613-0312]
si-0383-2006->[fis2008-05596, pi060781, 2004-hum-353]
otri-04-pc14->[0613-0312, 2002-cvi-210, 2004-hum-353]
p09-fqm-4983->[0613-0312, 2002-cvi-210, og-029-01]
es-098-2005->[ren2002-10380-e, ctq2007-28969-e, pi060781]
pi-0285-2008->[pi-0592-2009, og-144-06, og-074-02]
og-017-03->[si-016-08, og-074-02, ren2002-10380-e]
dpi2002-10391-e->[si-016-08, og-074-02, ren2002-10380-e]
og-017-01->[0613-0312, pi060781, pi-0592-2009]
si-073-01->[og-074-02, pi-0592-2009, og-144-06]
fis2008-05596->[acc-511-hum-2001, pi-0592-2009, dpi2002-10391-e]
agl2009-10026->[ren2002-10380-e, si-016-08, og-074-02]
si-073-05->[og-074-02, ren2002-10380-e, og-144-06]
p027-10-e05->[0613-0312, 2004-hum-353, 2002-cvi-210]
acc-511-hum-2001->[fis2008-05596, pi-0592-2009, ctq2007-28969-e]
og-144-06->[pi-0592-2009, pi060781, og-071-03]
exc-2005-fqm-672->[si-085-02, otri-04-pc14, si-085-07]
og-029-01->[0613-0312, 2002-cvi-210, p09-fqm-4983]
otri-06-06-pc45->[pi-0592-2009, 0613-0312, pi060781]
og-098-03->[pi-0592-2009, 0613-0312, og-144-06]
hu2007-0004->[0613-0312, dpi2008-05818, pi060781]
pet2008-0330-02->[pi060781, fis2008-05596, es-0063-2005]
subcs09-001->[acc-511-hum-2001, fis2008-05596, pi060781]
cit-300100-2005-37->[pi060781, pi-0592-2009, 0613-0312]
si-081-99->[pi060781, pi-0592-2009, og-144-06]
2002-cvi-210->[0613-0312, p09-fqm-4983, og-029-01]
ciau-38-02->[0613-0312, og-005-00, si-016-08]
og-086-01->[og-074-02, si-004-01, pi-0285-2008]
og-086-02->[acc-511-hum-2001, fis2008-05596, subcs09-001]
og-086-03->[si-016-08, og-005-00, og-074-02]
es-032-2003->[0613-0312, 2002-fqm-296, og-071-03]
og-086-08->[subcs09-001, fis2008-05596, acc-511-hum-2001]
ccp08-cvi-03724->[og-074-02, og-086-03, hp2007-0018]
og-005-00->[si-016-08, og-144-06, ren2002-10380-e]
mtm2005-24559-e->[2002-fqm-296, 2004-hum-353, acc-511-hum-2001]
si-085-02->[2004-hum-353, otri-04-pc14, og-017-01]
acc-756-fqm-2002->[og-074-02, og-005-00, ren2002-10380-e]
p016-10-e09->[pi-0592-2009, ren2002-10380-e, og-074-02]
si-085-06->[si-016-08, og-005-00, 0613-0312]
si-085-07->[0613-0312, 2004-hum-353, 2002-fqm-296]
erbfmbict-972392->[og-144-06, ren2002-10380-e, og-005-00]
og-030-07->[si-016-08, og-005-00, 0613-0312]
0019-0017->[pi-0592-2009, og-144-06, 0613-0312]
tin2007-67843-c06-03->[og-074-02, og-030-02, og-086-03]
at2009-0039->[si-016-08, og-005-00, ren2002-10380-e]
og-030-02->[pi060781, og-086-03, es-0063-2005]
mtm2007-65909->[subcs09-001, fis2008-05596, acc-511-hum-2001]
submh2008-002->[og-074-02, og-005-00, pi-0592-2009]
ren2002-10380-e->[si-016-08, pi-0592-2009, og-005-00]
p10-cvi-5879->[si-085-02, pi-0551-2007, og-017-01]
si-048-04->[0613-0312, 2004-hum-353, 2002-fqm-296]
fis2009-09326->[og-144-06, 0613-0312, og-005-00]
pi-0551-2007->[0613-0312, 2002-fqm-296, og-005-00]
p040-07-e08->[og-074-02, og-005-00, pi-0592-2009]
agf99-0574-c02-01->[pi060781, og-086-03, es-0063-2005]
dpi2008-05818->[0613-0312, og-144-06, 2002-cvi-210]
hf2000-0056->[si-016-08, og-005-00, ren2002-10380-e]
2000-hum-616->[otri-06-06-pc45, si-085-02, og-086-08]
0247-0060->[og-074-02, og-086-03, og-030-02]
bfm2001-3943->[og-144-06, 0613-0312, og-005-00]
es-0063-2005->[acc-511-hum-2001, fis2008-05596, pi060781]
2002-fqm-296->[0613-0312, 2002-cvi-210, og-029-01]
si-131-07->[og-005-00, si-016-08, ren2002-10380-e]
pi-0592-2009->[0613-0312, og-144-06, og-005-00]
si-131-06->[0613-0312, og-144-06, pi-0592-2009]
og-074-00->[og-005-00, si-016-08, og-030-07]
bfu2004-00076->[ren2002-10380-e, og-005-00, og-144-06]
si-016-08->[og-005-00, 0613-0312, 2002-cvi-210]
og-074-02->[og-005-00, si-016-08, ren2002-10380-e]
si-036-99->[si-085-06, si-016-08, og-005-00]
sr-0573-2008->[subcs09-001, otri-06-06-pc45, si-004-01]
0613-0312->[2002-cvi-210, si-016-08, og-030-07]
si-016-03->[si-085-02, es-032-2003, og-086-08]
pi060781->[0613-0312, og-144-06, pi-0592-2009]
si-016-01->[fis2008-05596, dpi2002-10391-e, at2009-0039]
og-062-00->[og-074-02, og-086-03, og-030-02]
2004-hum-353->[0613-0312, 2002-cvi-210, 2002-fqm-296]
si-004-06->[si-085-06, og-030-07, og-005-00]
2004-fqm-123->[og-005-00, si-085-06, og-030-07]
sej2005-24019-e->[si-016-08, og-005-00, 2004-fqm-123]
si-004-01->[0613-0312, pi-0285-2008, si-016-08]
agl2007-64622->[0613-0312, pi-0285-2008, 2002-cvi-210]
si2.129340->[acc-511-hum-2001, pi060781, fis2008-05596]
pi-0260-2005->[og-005-00, si-016-08, 0613-0312]
015-04->[si-085-06, si-085-02, og-017-01]
ctq2007-28969-e->[ren2002-10380-e, og-074-02, si-016-08]
dpi2000-0567->[og-030-07, og-005-00, 0613-0312]
invm a002-07->[acc-511-hum-2001, fis2008-05596, si-048-04]
2004-fqm-119->[si-016-08, ren2002-10380-e, 0613-0312]
ha2007-0016->[si-085-02, 2004-hum-353, si-085-07]
pi-0129-2007->[fis2008-05596, dpi2002-10391-e, at2009-0039]
bio2008-02292->[og-005-00, si-016-08, 0613-0312]
0288-0097->[si-085-06, og-086-03, 015-04]
0314-0189->[0613-0312, pi-0285-2008, 2004-hum-353]
otri-06-oe05->[si-085-06, si-085-02, og-017-01]
otri-06-oe07->[si-085-06, si-016-08, cit-300100-2005-37]
es-323-2002->[og-086-03, og-030-02, og-074-02]
univer09-2009-41-0038->[si-016-08, pi-0592-2009, ren2002-10380-e]
1997-sej-238->[subcs09-001, otri-06-06-pc45, si-085-02]
bff2003-07650->[0613-0312, 2002-fqm-296, si-085-02]
