0858-0365->[0788-0369, 0774-0168, 0794-0096]
0886-0060->[0788-0369, 0774-0168, 0794-0096]
tin2010-20057-c03-02->[0774-0168, 0762-0145, 0794-0096]
conv2010-004->[0794-0096, 0762-0145, pr2010-0035]
0815-0378->[p039-07-e25, 0854-0387, 0794-0096]
mtm2010-15592->[0794-0096, 0762-0145, pr2010-0035]
p10-tep-6412->[p039-07-e25, 0774-0168, 0794-0096]
p052-08-e26->[p039-07-e25, 0774-0168, 0794-0096]
otri-08-fcie44->[0794-0096, 0854-0387, p039-07-e25]
p10-tic-6220->[0788-0369, 0762-0145, 0794-0096]
ffi2010-19022->[p039-07-e25, 0774-0168, 0794-0096]
agl2010-21982-c02-01->[p039-07-e25, 0854-0387, 0794-0096]
0863-0011->[0788-0369, 0774-0168, 0794-0096]
otri-08-fcie42->[p039-07-e25, 0774-0168, 0794-0096]
pi-0398-2010->[p039-07-e25, 0854-0387, 0794-0096]
es-0173-2010->[0794-0096, 0774-0168, 0854-0387]
0829-0380->[p039-07-e25, 0774-0168, 0794-0096]
0769-0178->[0794-0096, 0762-0145, pr2010-0035]
otri-08-pc37->[0794-0096, 0854-0387, p039-07-e25]
pro-reta->[0794-0096, 0854-0387, p039-07-e25]
p025-07-e05->[0794-0096, 0762-0145, pr2010-0035]
otri-08-oe20->[0794-0096, 0762-0145, pr2010-0035]
exp: 224-2006-dgfp-00->[0794-0096, 0774-0168, p039-07-e25]
otri-08-pc39->[0794-0096, 0774-0168, p039-07-e25]
bfu2011-24513->[0794-0096, 0774-0168, 0854-0387]
0857-0228->[pr2010-0035, 0762-0145, 0794-0096]
cso2011-28480->[p039-07-e25, 0774-0168, 0794-0096]
bio2010-15430->[pr2010-0035, mtm2010-20907-c02-01, p10-tic-5789]
p041-06-e05->[0794-0096, 0762-0145, 0788-0369]
es-0427-2010->[0794-0096, 0774-0168, p039-07-e25]
p10-agr-6609->[0794-0096, 0762-0145, pr2010-0035]
otri-08-fcie50->[p039-07-e25, 0854-0387, 0794-0096]
0821-0141->[0794-0096, 0762-0145, pr2010-0035]
modalidad: subvenciones para la realización de congresos y reuniones científicas->[0854-0387, 0794-0096, p039-07-e25]
p054-06-e05->[0794-0096, 0762-0145, pr2010-0035]
dpi2011-28356-c03-01->[0794-0096, 0854-0387, p039-07-e25]
pi-0471-2010->[p039-07-e25, 0774-0168, 0794-0096]
p007-08-e05->[0794-0096, 0762-0145, 0774-0168]
p039-07-e25->[0794-0096, 0774-0168, p039-07-e25]
otri-08-ct20->[0794-0096, 0762-0145, 0774-0168]
